"","micro1","micro2","r","p_value"
"104","Flavobacteriaceae bacterium JJC","Erythrobacter sp. HL-111",0.151756794992057,0.0117438443955054
"207","Flavobacteriaceae bacterium JJC","Martelella sp. AD-3",0.158870424070633,0.00830649074301852
"208","Erythrobacter sp. HL-111","Martelella sp. AD-3",0.378679348907055,8.32833734722204e-11
"310","Flavobacteriaceae bacterium JJC","Luteimonas sp. JM171",0.121216071094504,0.0446011645561378
"311","Erythrobacter sp. HL-111","Luteimonas sp. JM171",0.257633225864659,1.51735451467831e-05
"312","Martelella sp. AD-3","Luteimonas sp. JM171",0.366616306248901,3.57191121637092e-10
"413","Flavobacteriaceae bacterium JJC","Dinoroseobacter shibae",0.304073288218389,2.72146189020553e-07
"414","Erythrobacter sp. HL-111","Dinoroseobacter shibae",0.266717195350578,7.31346852946993e-06
"415","Martelella sp. AD-3","Dinoroseobacter shibae",0.499591712037631,9.08515318651324e-19
"416","Luteimonas sp. JM171","Dinoroseobacter shibae",0.383131632484082,4.79200543209797e-11
"516","Flavobacteriaceae bacterium JJC","Elizabethkingia meningoseptica",0.576033449924005,1.04311614582725e-25
"517","Erythrobacter sp. HL-111","Elizabethkingia meningoseptica",0.144667147761778,0.0163615937676989
"518","Martelella sp. AD-3","Elizabethkingia meningoseptica",0.22426915779324,0.00017681916731307
"519","Luteimonas sp. JM171","Elizabethkingia meningoseptica",0.265741858850394,7.91981758923136e-06
"520","Dinoroseobacter shibae","Elizabethkingia meningoseptica",0.359277126565913,8.4137008532213e-10
"619","Flavobacteriaceae bacterium JJC","Ketogulonicigenium robustum",0.304422325649086,2.63307154788463e-07
"620","Erythrobacter sp. HL-111","Ketogulonicigenium robustum",0.369558968842893,2.51795405386189e-10
"621","Martelella sp. AD-3","Ketogulonicigenium robustum",0.53746878276235,5.49688825663729e-22
"622","Luteimonas sp. JM171","Ketogulonicigenium robustum",0.374957692423812,1.31351933366163e-10
"623","Dinoroseobacter shibae","Ketogulonicigenium robustum",0.4876262385026,7.84272931623749e-18
"624","Elizabethkingia meningoseptica","Ketogulonicigenium robustum",0.32120258255393,5.11390869651923e-08
"722","Flavobacteriaceae bacterium JJC","Sulfitobacter pseudonitzschiae",0.239266634141697,6.12129850953251e-05
"723","Erythrobacter sp. HL-111","Sulfitobacter pseudonitzschiae",0.406421460409498,2.31405767627499e-12
"724","Martelella sp. AD-3","Sulfitobacter pseudonitzschiae",0.558640602929268,5.71347784539499e-24
"725","Luteimonas sp. JM171","Sulfitobacter pseudonitzschiae",0.302784227083729,3.07325939617705e-07
"726","Dinoroseobacter shibae","Sulfitobacter pseudonitzschiae",0.520418193913017,1.73249159239873e-20
"727","Elizabethkingia meningoseptica","Sulfitobacter pseudonitzschiae",0.277358256793822,3.00513323871809e-06
"728","Ketogulonicigenium robustum","Sulfitobacter pseudonitzschiae",0.538537927056215,4.39841779998794e-22
"825","Flavobacteriaceae bacterium JJC","Thalassolituus oleivorans",0.187850242890705,0.00175488859264779
"826","Erythrobacter sp. HL-111","Thalassolituus oleivorans",0.184674356566585,0.00210488417357111
"827","Martelella sp. AD-3","Thalassolituus oleivorans",0.225648657384878,0.000160844083250761
"829","Dinoroseobacter shibae","Thalassolituus oleivorans",0.224972343486302,0.000168499288990001
"830","Elizabethkingia meningoseptica","Thalassolituus oleivorans",0.232457168457737,9.9940218238785e-05
"832","Sulfitobacter pseudonitzschiae","Thalassolituus oleivorans",0.193100035677921,0.00129107858636967
"928","Flavobacteriaceae bacterium JJC","Microbacterium paludicola",0.445774497760079,7.8546821820339e-15
"929","Erythrobacter sp. HL-111","Microbacterium paludicola",0.336176519002581,1.08609687024454e-08
"930","Martelella sp. AD-3","Microbacterium paludicola",0.370670236674352,2.20445737171673e-10
"931","Luteimonas sp. JM171","Microbacterium paludicola",0.271933530942945,4.75129107130742e-06
"932","Dinoroseobacter shibae","Microbacterium paludicola",0.41646966941172,5.80902386952544e-13
"933","Elizabethkingia meningoseptica","Microbacterium paludicola",0.360391973788444,7.39728333727347e-10
"934","Ketogulonicigenium robustum","Microbacterium paludicola",0.472798584156655,1.0111864467963e-16
"935","Sulfitobacter pseudonitzschiae","Microbacterium paludicola",0.440798658863921,1.68000455044052e-14
"936","Thalassolituus oleivorans","Microbacterium paludicola",0.204382456405149,0.000649804525190525
"1034","Luteimonas sp. JM171","Staphylococcus phage StB12",0.146222391116082,0.0152311038964614
"1037","Ketogulonicigenium robustum","Staphylococcus phage StB12",0.138608147538226,0.0214938540026796
"1134","Flavobacteriaceae bacterium JJC","Brevirhabdus pacifica",0.32728410486931,2.75319372478888e-08
"1135","Erythrobacter sp. HL-111","Brevirhabdus pacifica",0.432546929218967,5.7691742994702e-14
"1136","Martelella sp. AD-3","Brevirhabdus pacifica",0.522399227124718,1.17184592309194e-20
"1137","Luteimonas sp. JM171","Brevirhabdus pacifica",0.415419634627599,6.72625116485752e-13
"1138","Dinoroseobacter shibae","Brevirhabdus pacifica",0.516329727841086,3.85139268511465e-20
"1139","Elizabethkingia meningoseptica","Brevirhabdus pacifica",0.32772123846187,2.63195558017972e-08
"1140","Ketogulonicigenium robustum","Brevirhabdus pacifica",0.580741064678367,3.38654116719152e-26
"1141","Sulfitobacter pseudonitzschiae","Brevirhabdus pacifica",0.611952025114784,1.20383700809039e-29
