"","micro1","micro2","r","p_value"
"104","Flavobacteriaceae bacterium JJC","Erythrobacter sp. HL-111",0.227183584799624,0.000202844054576055
"207","Flavobacteriaceae bacterium JJC","Martelella sp. AD-3",0.265885297742871,1.24066352097724e-05
"208","Erythrobacter sp. HL-111","Martelella sp. AD-3",0.391584664223927,4.54798936574268e-11
"311","Erythrobacter sp. HL-111","Luteimonas sp. JM171",0.272874466639254,7.13248835963855e-06
"312","Martelella sp. AD-3","Luteimonas sp. JM171",0.347945183420999,6.71017516727544e-09
"413","Flavobacteriaceae bacterium JJC","Dinoroseobacter shibae",0.288450367907664,1.96398154109762e-06
"414","Erythrobacter sp. HL-111","Dinoroseobacter shibae",0.367688505157401,7.6836473150523e-10
"415","Martelella sp. AD-3","Dinoroseobacter shibae",0.489350425129365,3.0523232801369e-17
"416","Luteimonas sp. JM171","Dinoroseobacter shibae",0.310594637851561,2.73706169795948e-07
"516","Flavobacteriaceae bacterium JJC","Elizabethkingia meningoseptica",0.5315730707705,1.3892447447952e-20
"517","Erythrobacter sp. HL-111","Elizabethkingia meningoseptica",0.21107923929617,0.00056952171942456
"518","Martelella sp. AD-3","Elizabethkingia meningoseptica",0.242632859656452,7.01813120424675e-05
"519","Luteimonas sp. JM171","Elizabethkingia meningoseptica",0.19879846952509,0.00119101919054249
"520","Dinoroseobacter shibae","Elizabethkingia meningoseptica",0.385825004238705,9.18125317931151e-11
"619","Flavobacteriaceae bacterium JJC","Ketogulonicigenium robustum",0.360341969626765,1.75113492105783e-09
"620","Erythrobacter sp. HL-111","Ketogulonicigenium robustum",0.443859508435032,4.01839219334432e-14
"621","Martelella sp. AD-3","Ketogulonicigenium robustum",0.541144473679876,2.08094716252713e-21
"622","Luteimonas sp. JM171","Ketogulonicigenium robustum",0.432616722306084,2.02327767022963e-13
"623","Dinoroseobacter shibae","Ketogulonicigenium robustum",0.524144198165898,5.82013664174792e-20
"624","Elizabethkingia meningoseptica","Ketogulonicigenium robustum",0.409591380800561,4.62494097558642e-12
"722","Flavobacteriaceae bacterium JJC","Sulfitobacter pseudonitzschiae",0.319387787736097,1.19513194357886e-07
"723","Erythrobacter sp. HL-111","Sulfitobacter pseudonitzschiae",0.414202832989816,2.5185266592781e-12
"724","Martelella sp. AD-3","Sulfitobacter pseudonitzschiae",0.550834420975785,2.85958662115139e-22
"725","Luteimonas sp. JM171","Sulfitobacter pseudonitzschiae",0.239451848064562,8.78292384563546e-05
"726","Dinoroseobacter shibae","Sulfitobacter pseudonitzschiae",0.536123181710294,5.67654310276248e-21
"727","Elizabethkingia meningoseptica","Sulfitobacter pseudonitzschiae",0.381532448167555,1.53619120558063e-10
"728","Ketogulonicigenium robustum","Sulfitobacter pseudonitzschiae",0.592579191782135,2.52511551848663e-26
"825","Flavobacteriaceae bacterium JJC","Thalassolituus oleivorans",0.219094696353844,0.000343876534560872
"826","Erythrobacter sp. HL-111","Thalassolituus oleivorans",0.233824003321904,0.000129655086863034
"827","Martelella sp. AD-3","Thalassolituus oleivorans",0.28754898827518,2.12069966947784e-06
"829","Dinoroseobacter shibae","Thalassolituus oleivorans",0.307279301524861,3.71513413412226e-07
"830","Elizabethkingia meningoseptica","Thalassolituus oleivorans",0.237880158273169,9.80140285392745e-05
"831","Ketogulonicigenium robustum","Thalassolituus oleivorans",0.22241136423271,0.000277588494628201
"832","Sulfitobacter pseudonitzschiae","Thalassolituus oleivorans",0.279946495232802,4.00990320514109e-06
"928","Flavobacteriaceae bacterium JJC","Microbacterium paludicola",0.366007924988665,9.2940763913758e-10
"929","Erythrobacter sp. HL-111","Microbacterium paludicola",0.366661614351976,8.63215442341296e-10
"930","Martelella sp. AD-3","Microbacterium paludicola",0.408190091989436,5.55287830878207e-12
"931","Luteimonas sp. JM171","Microbacterium paludicola",0.31384049295707,2.02205811661168e-07
"932","Dinoroseobacter shibae","Microbacterium paludicola",0.442724006039199,4.74389375677235e-14
"933","Elizabethkingia meningoseptica","Microbacterium paludicola",0.389814449315764,5.65219008951474e-11
"934","Ketogulonicigenium robustum","Microbacterium paludicola",0.424724212416083,6.07563363829167e-13
"935","Sulfitobacter pseudonitzschiae","Microbacterium paludicola",0.446053667393009,2.9107374713135e-14
"936","Thalassolituus oleivorans","Microbacterium paludicola",0.212871292178966,0.000509581009210819
"1036","Elizabethkingia meningoseptica","Staphylococcus phage StB12",0.133935401715346,0.0298923292305433
"1134","Flavobacteriaceae bacterium JJC","Brevirhabdus pacifica",0.328442384101972,4.95006734063887e-08
"1135","Erythrobacter sp. HL-111","Brevirhabdus pacifica",0.403949263599985,9.60736193132207e-12
"1136","Martelella sp. AD-3","Brevirhabdus pacifica",0.471645803539773,5.67620896905151e-16
"1137","Luteimonas sp. JM171","Brevirhabdus pacifica",0.355181249549443,3.08498916532682e-09
"1138","Dinoroseobacter shibae","Brevirhabdus pacifica",0.544849855992436,9.81623245564148e-22
"1139","Elizabethkingia meningoseptica","Brevirhabdus pacifica",0.362726663843208,1.34333511653612e-09
"1140","Ketogulonicigenium robustum","Brevirhabdus pacifica",0.584421984493173,1.74043011160538e-25
"1141","Sulfitobacter pseudonitzschiae","Brevirhabdus pacifica",0.551720355462241,2.37734585932129e-22
"1142","Thalassolituus oleivorans","Brevirhabdus pacifica",0.25893722645089,2.11873904396015e-05
"1143","Microbacterium paludicola","Brevirhabdus pacifica",0.484425287703682,7.00110444929425e-17
"1237","Flavobacteriaceae bacterium JJC","Meiothermus silvanus",0.22269380216534,0.000272532374724508
"1238","Erythrobacter sp. HL-111","Meiothermus silvanus",0.189365393475748,0.00204020256915598
"1239","Martelella sp. AD-3","Meiothermus silvanus",0.197434638205997,0.00128935850953631
"1240","Luteimonas sp. JM171","Meiothermus silvanus",0.255771138724885,2.69052312447275e-05
"1241","Dinoroseobacter shibae","Meiothermus silvanus",0.23123219802473,0.000154640306694832
"1242","Elizabethkingia meningoseptica","Meiothermus silvanus",0.207020470295306,0.000730193805765569
"1243","Ketogulonicigenium robustum","Meiothermus silvanus",0.362697522366795,1.34771193487765e-09
"1244","Sulfitobacter pseudonitzschiae","Meiothermus silvanus",0.283733980488242,2.92632865611275e-06
"1246","Microbacterium paludicola","Meiothermus silvanus",0.295971272150328,1.02429773024459e-06
"1247","Staphylococcus phage StB12","Meiothermus silvanus",0.150706928195025,0.0144289784469025
"1248","Brevirhabdus pacifica","Meiothermus silvanus",0.240364547382139,8.23800662402884e-05
"1340","Flavobacteriaceae bacterium JJC","Microbacterium sp. XT11",0.323553787546708,7.99548460473151e-08
"1341","Erythrobacter sp. HL-111","Microbacterium sp. XT11",0.438162186414971,9.18401774968901e-14
"1342","Martelella sp. AD-3","Microbacterium sp. XT11",0.383605781593495,1.19916180766372e-10
"1343","Luteimonas sp. JM171","Microbacterium sp. XT11",0.303469335561612,5.25362668042372e-07
"1344","Dinoroseobacter shibae","Microbacterium sp. XT11",0.403160679792129,1.06293440327904e-11
"1345","Elizabethkingia meningoseptica","Microbacterium sp. XT11",0.337900485103234,1.91082940193318e-08
"1346","Ketogulonicigenium robustum","Microbacterium sp. XT11",0.448523459465923,2.01907137281673e-14
"1347","Sulfitobacter pseudonitzschiae","Microbacterium sp. XT11",0.434357636981166,1.58139760607273e-13
"1348","Thalassolituus oleivorans","Microbacterium sp. XT11",0.183363887427492,0.00283720970426902
"1349","Microbacterium paludicola","Microbacterium sp. XT11",0.702534271819296,1.933696441458e-40
"1351","Brevirhabdus pacifica","Microbacterium sp. XT11",0.423764138023693,6.93167089723945e-13
"1352","Meiothermus silvanus","Microbacterium sp. XT11",0.261516300700242,1.74005598178517e-05
"1443","Flavobacteriaceae bacterium JJC","Leadbetterella byssophila",0.569368595052311,5.33744742227075e-24
"1444","Erythrobacter sp. HL-111","Leadbetterella byssophila",0.303012423523904,5.47473575381058e-07
"1445","Martelella sp. AD-3","Leadbetterella byssophila",0.381956832347989,1.460458019607e-10
"1446","Luteimonas sp. JM171","Leadbetterella byssophila",0.274550371302947,6.23156944819521e-06
"1447","Dinoroseobacter shibae","Leadbetterella byssophila",0.432436383491257,2.07541990886215e-13
"1448","Elizabethkingia meningoseptica","Leadbetterella byssophila",0.57028155465166,4.35844793721079e-24
"1449","Ketogulonicigenium robustum","Leadbetterella byssophila",0.45821990432386,4.66589117751739e-15
"1450","Sulfitobacter pseudonitzschiae","Leadbetterella byssophila",0.391812411970942,4.42215375962074e-11
"1451","Thalassolituus oleivorans","Leadbetterella byssophila",0.288444266874511,1.96500411622173e-06
"1452","Microbacterium paludicola","Leadbetterella byssophila",0.41613657302263,1.94648867878146e-12
"1454","Brevirhabdus pacifica","Leadbetterella byssophila",0.420131945002181,1.13705147882143e-12
"1455","Meiothermus silvanus","Leadbetterella byssophila",0.257238570599555,2.40941987009692e-05
"1456","Microbacterium sp. XT11","Leadbetterella byssophila",0.420627229893947,1.06321801938271e-12
"1546","Flavobacteriaceae bacterium JJC","Rhodobacter capsulatus",0.301813937159791,6.0979028498367e-07
"1547","Erythrobacter sp. HL-111","Rhodobacter capsulatus",0.432395356573162,2.08746421853113e-13
"1548","Martelella sp. AD-3","Rhodobacter capsulatus",0.522112004153292,8.56014452496834e-20
"1549","Luteimonas sp. JM171","Rhodobacter capsulatus",0.347188764235709,7.26978688367986e-09
"1550","Dinoroseobacter shibae","Rhodobacter capsulatus",0.537779907689373,4.08406374059388e-21
"1551","Elizabethkingia meningoseptica","Rhodobacter capsulatus",0.354224920218062,3.42251616502394e-09
"1552","Ketogulonicigenium robustum","Rhodobacter capsulatus",0.635951951465475,3.27829466895386e-31
"1553","Sulfitobacter pseudonitzschiae","Rhodobacter capsulatus",0.562353631135525,2.48023274388631e-23
"1554","Thalassolituus oleivorans","Rhodobacter capsulatus",0.2439082415651,6.40905587919265e-05
"1555","Microbacterium paludicola","Rhodobacter capsulatus",0.459345939212231,3.92406136127066e-15
"1557","Brevirhabdus pacifica","Rhodobacter capsulatus",0.651602657920202,3.5847093592378e-33
"1558","Meiothermus silvanus","Rhodobacter capsulatus",0.265386962633011,1.28985620008943e-05
"1559","Microbacterium sp. XT11","Rhodobacter capsulatus",0.448198155547397,2.11908320690264e-14
"1560","Leadbetterella byssophila","Rhodobacter capsulatus",0.451844697979091,1.2288595253815e-14
"1649","Flavobacteriaceae bacterium JJC","Martelella mediterranea",0.254844808347298,2.88364362634607e-05
"1650","Erythrobacter sp. HL-111","Martelella mediterranea",0.46358627153321,2.03264856072509e-15
"1651","Martelella sp. AD-3","Martelella mediterranea",0.551359909958754,2.56303897046192e-22
"1652","Luteimonas sp. JM171","Martelella mediterranea",0.460343260076488,3.36435081373562e-15
"1653","Dinoroseobacter shibae","Martelella mediterranea",0.583925163562773,1.95415214718279e-25
"1654","Elizabethkingia meningoseptica","Martelella mediterranea",0.340652408401828,1.43981077916868e-08
"1655","Ketogulonicigenium robustum","Martelella mediterranea",0.549308717741271,3.92536820242761e-22
"1656","Sulfitobacter pseudonitzschiae","Martelella mediterranea",0.612597806141374,1.74029791738701e-28
"1657","Thalassolituus oleivorans","Martelella mediterranea",0.332067158534783,3.45008897516844e-08
