"","micro1","micro2","r","p_value"
"104","Flavobacteriaceae bacterium JJC","Erythrobacter sp. HL-111",0.232082730536466,8.60754827252943e-05
"207","Flavobacteriaceae bacterium JJC","Martelella sp. AD-3",0.290292551812832,7.36310379890337e-07
"208","Erythrobacter sp. HL-111","Martelella sp. AD-3",0.461209986984363,3.30935414956699e-16
"310","Flavobacteriaceae bacterium JJC","Luteimonas sp. JM171",0.207720765539748,0.000456919198124871
"311","Erythrobacter sp. HL-111","Luteimonas sp. JM171",0.360022808699806,5.03772792039219e-10
"312","Martelella sp. AD-3","Luteimonas sp. JM171",0.416348363348234,3.30276611864163e-13
"413","Flavobacteriaceae bacterium JJC","Dinoroseobacter shibae",0.300463501617915,2.84652386165357e-07
"414","Erythrobacter sp. HL-111","Dinoroseobacter shibae",0.335977360610546,7.66523108656266e-09
"415","Martelella sp. AD-3","Dinoroseobacter shibae",0.497479284716359,5.63907475880964e-19
"416","Luteimonas sp. JM171","Dinoroseobacter shibae",0.432795621911259,2.95374171776362e-14
"516","Flavobacteriaceae bacterium JJC","Elizabethkingia meningoseptica",0.459148317846764,4.65016549368672e-16
"517","Erythrobacter sp. HL-111","Elizabethkingia meningoseptica",0.329832387295349,1.48203537487502e-08
"518","Martelella sp. AD-3","Elizabethkingia meningoseptica",0.389523792391431,1.2899084653149e-11
"519","Luteimonas sp. JM171","Elizabethkingia meningoseptica",0.337386045163371,6.57649614179159e-09
"520","Dinoroseobacter shibae","Elizabethkingia meningoseptica",0.3190956113214,4.53083099438514e-08
"619","Flavobacteriaceae bacterium JJC","Ketogulonicigenium robustum",0.389055808435889,1.37112175195118e-11
"620","Erythrobacter sp. HL-111","Ketogulonicigenium robustum",0.441030131774135,8.38827001313889e-15
"621","Martelella sp. AD-3","Ketogulonicigenium robustum",0.558378832968685,1.95352955895401e-24
"622","Luteimonas sp. JM171","Ketogulonicigenium robustum",0.341424650952245,4.22082117981835e-09
"623","Dinoroseobacter shibae","Ketogulonicigenium robustum",0.50947944418306,5.75963770374108e-20
"624","Elizabethkingia meningoseptica","Ketogulonicigenium robustum",0.336985673922066,6.86969839975075e-09
"722","Flavobacteriaceae bacterium JJC","Sulfitobacter pseudonitzschiae",0.363436579735743,3.35880001452651e-10
"723","Erythrobacter sp. HL-111","Sulfitobacter pseudonitzschiae",0.437211381551678,1.51024030902258e-14
"724","Martelella sp. AD-3","Sulfitobacter pseudonitzschiae",0.578523766225641,1.67990808525664e-26
"725","Luteimonas sp. JM171","Sulfitobacter pseudonitzschiae",0.402180402187222,2.38415248585104e-12
"726","Dinoroseobacter shibae","Sulfitobacter pseudonitzschiae",0.563213295801234,6.42594940770828e-25
"727","Elizabethkingia meningoseptica","Sulfitobacter pseudonitzschiae",0.358184415853201,6.25435493553841e-10
"728","Ketogulonicigenium robustum","Sulfitobacter pseudonitzschiae",0.593750980957006,3.68582627423131e-28
"825","Flavobacteriaceae bacterium JJC","Thalassolituus oleivorans",0.327487220900667,1.89880149731177e-08
"826","Erythrobacter sp. HL-111","Thalassolituus oleivorans",0.258037438615514,1.18339441449425e-05
"827","Martelella sp. AD-3","Thalassolituus oleivorans",0.310003213807981,1.12863107509601e-07
"828","Luteimonas sp. JM171","Thalassolituus oleivorans",0.205255945600994,0.000535548183247029
"829","Dinoroseobacter shibae","Thalassolituus oleivorans",0.194114193767045,0.00107317109651701
"830","Elizabethkingia meningoseptica","Thalassolituus oleivorans",0.338246519587672,5.98674438679114e-09
"831","Ketogulonicigenium robustum","Thalassolituus oleivorans",0.308160396525808,1.35294235855479e-07
"832","Sulfitobacter pseudonitzschiae","Thalassolituus oleivorans",0.367972293431427,1.94553709966748e-10
"928","Flavobacteriaceae bacterium JJC","Microbacterium paludicola",0.41798449401004,2.61283531204325e-13
"929","Erythrobacter sp. HL-111","Microbacterium paludicola",0.386986410479759,1.79403935864229e-11
"930","Martelella sp. AD-3","Microbacterium paludicola",0.387852654238052,1.60345814503656e-11
"931","Luteimonas sp. JM171","Microbacterium paludicola",0.371464581307482,1.27031225788526e-10
"932","Dinoroseobacter shibae","Microbacterium paludicola",0.334887053710775,8.62561852882583e-09
"933","Elizabethkingia meningoseptica","Microbacterium paludicola",0.464542332304804,1.90043607656399e-16
"934","Ketogulonicigenium robustum","Microbacterium paludicola",0.348495088732619,1.91211743395636e-09
"935","Sulfitobacter pseudonitzschiae","Microbacterium paludicola",0.47806349753136,1.87950996171397e-17
"936","Thalassolituus oleivorans","Microbacterium paludicola",0.297785390506173,3.66896426983488e-07
"1034","Luteimonas sp. JM171","Staphylococcus phage StB12",0.146608213045879,0.0138955216173265
"1039","Thalassolituus oleivorans","Staphylococcus phage StB12",0.128487483467469,0.0313049728883345
"1134","Flavobacteriaceae bacterium JJC","Brevirhabdus pacifica",0.367868683924666,1.97014450538467e-10
"1135","Erythrobacter sp. HL-111","Brevirhabdus pacifica",0.420065750167655,1.93579647294291e-13
"1136","Martelella sp. AD-3","Brevirhabdus pacifica",0.561109850828822,1.0447366402624e-24
"1137","Luteimonas sp. JM171","Brevirhabdus pacifica",0.380260649275942,4.2432530072627e-11
"1138","Dinoroseobacter shibae","Brevirhabdus pacifica",0.531073448231938,7.51299441270279e-22
"1139","Elizabethkingia meningoseptica","Brevirhabdus pacifica",0.32445541165692,2.60775810676672e-08
"1140","Ketogulonicigenium robustum","Brevirhabdus pacifica",0.530574306943708,8.33510217785814e-22
"1141","Sulfitobacter pseudonitzschiae","Brevirhabdus pacifica",0.619716415446759,3.35626807773753e-31
"1142","Thalassolituus oleivorans","Brevirhabdus pacifica",0.3305214359966,1.37741447187674e-08
"1143","Microbacterium paludicola","Brevirhabdus pacifica",0.42212938384014,1.4348971268703e-13
"1144","Staphylococcus phage StB12","Brevirhabdus pacifica",0.120521420316117,0.0435219928376679
"1237","Flavobacteriaceae bacterium JJC","Meiothermus silvanus",0.150082602972292,0.0117718241193374
"1238","Erythrobacter sp. HL-111","Meiothermus silvanus",0.156255423195519,0.00869603786629821
"1239","Martelella sp. AD-3","Meiothermus silvanus",0.28055804201227,1.76731701628361e-06
"1240","Luteimonas sp. JM171","Meiothermus silvanus",0.235676853285055,6.62428771811467e-05
"1241","Dinoroseobacter shibae","Meiothermus silvanus",0.20989150672015,0.00039668739820274
"1242","Elizabethkingia meningoseptica","Meiothermus silvanus",0.272871023866296,3.4479197539231e-06
"1243","Ketogulonicigenium robustum","Meiothermus silvanus",0.233853450956511,7.56945036710282e-05
"1244","Sulfitobacter pseudonitzschiae","Meiothermus silvanus",0.210407921157157,0.000383488567797967
"1245","Thalassolituus oleivorans","Meiothermus silvanus",0.139791445779076,0.019057261470965
"1246","Microbacterium paludicola","Meiothermus silvanus",0.187409629412599,0.00160190533396247
"1248","Brevirhabdus pacifica","Meiothermus silvanus",0.153867380133037,0.00978911280509876
"1340","Flavobacteriaceae bacterium JJC","Microbacterium sp. XT11",0.356183659456129,7.90219860345377e-10
"1341","Erythrobacter sp. HL-111","Microbacterium sp. XT11",0.372568358957079,1.10901010424177e-10
"1342","Martelella sp. AD-3","Microbacterium sp. XT11",0.365405550537448,2.65273654349554e-10
"1343","Luteimonas sp. JM171","Microbacterium sp. XT11",0.338008947733169,6.14425041090639e-09
"1344","Dinoroseobacter shibae","Microbacterium sp. XT11",0.271547938573196,3.86039261726636e-06
"1345","Elizabethkingia meningoseptica","Microbacterium sp. XT11",0.369157765475497,1.6844009197688e-10
"1346","Ketogulonicigenium robustum","Microbacterium sp. XT11",0.404180387615016,1.81382981282988e-12
"1347","Sulfitobacter pseudonitzschiae","Microbacterium sp. XT11",0.466433495428255,1.38347627250996e-16
"1348","Thalassolituus oleivorans","Microbacterium sp. XT11",0.388248996717591,1.52297815826948e-11
"1349","Microbacterium paludicola","Microbacterium sp. XT11",0.609594480594755,5.55335144877041e-30
"1351","Brevirhabdus pacifica","Microbacterium sp. XT11",0.437326483457612,1.48386893990837e-14
"1352","Meiothermus silvanus","Microbacterium sp. XT11",0.172542453391624,0.00371693796408274
"1443","Flavobacteriaceae bacterium JJC","Leadbetterella byssophila",0.522835643501204,4.07991298493278e-21
"1444","Erythrobacter sp. HL-111","Leadbetterella byssophila",0.322014099368943,3.35833089182237e-08
"1445","Martelella sp. AD-3","Leadbetterella byssophila",0.471596155941959,5.75705991229435e-17
"1446","Luteimonas sp. JM171","Leadbetterella byssophila",0.435337433502972,2.00999837092043e-14
"1447","Dinoroseobacter shibae","Leadbetterella byssophila",0.425531225995197,8.71982903988747e-14
"1448","Elizabethkingia meningoseptica","Leadbetterella byssophila",0.604747970900424,2.05459086086298e-29
"1449","Ketogulonicigenium robustum","Leadbetterella byssophila",0.471597829001248,5.75541054558558e-17
"1450","Sulfitobacter pseudonitzschiae","Leadbetterella byssophila",0.463383028550366,2.30651089511253e-16
"1451","Thalassolituus oleivorans","Leadbetterella byssophila",0.404418847631145,1.75544135996803e-12
"1452","Microbacterium paludicola","Leadbetterella byssophila",0.478544116651921,1.72784202934639e-17
"1453","Staphylococcus phage StB12","Leadbetterella byssophila",0.147673333932633,0.0132112792384985
"1454","Brevirhabdus pacifica","Leadbetterella byssophila",0.4326496600242,3.01946583207904e-14
"1455","Meiothermus silvanus","Leadbetterella byssophila",0.372145991809105,1.16823169256904e-10
"1456","Microbacterium sp. XT11","Leadbetterella byssophila",0.433877782197442,2.5082396795179e-14
"1546","Flavobacteriaceae bacterium JJC","Rhodobacter capsulatus",0.286067721343972,1.08106473231965e-06
"1547","Erythrobacter sp. HL-111","Rhodobacter capsulatus",0.491796758339732,1.61051534977912e-18
"1548","Martelella sp. AD-3","Rhodobacter capsulatus",0.555256813517526,3.96731023660518e-24
"1549","Luteimonas sp. JM171","Rhodobacter capsulatus",0.444024972002925,5.26190454294414e-15
"1550","Dinoroseobacter shibae","Rhodobacter capsulatus",0.620868889126497,2.42255425517199e-31
"1551","Elizabethkingia meningoseptica","Rhodobacter capsulatus",0.335801316665718,7.81296993508762e-09
"1552","Ketogulonicigenium robustum","Rhodobacter capsulatus",0.615629418048743,1.05499844714476e-30
"1553","Sulfitobacter pseudonitzschiae","Rhodobacter capsulatus",0.659936412411273,1.63178102309761e-36
"1554","Thalassolituus oleivorans","Rhodobacter capsulatus",0.254197011297044,1.60922005543406e-05
"1555","Microbacterium paludicola","Rhodobacter capsulatus",0.451830483186755,1.52699700903062e-15
"1556","Staphylococcus phage StB12","Rhodobacter capsulatus",0.146107859875082,0.0142275590838538
"1557","Brevirhabdus pacifica","Rhodobacter capsulatus",0.643728767248733,2.81585704926058e-34
"1558","Meiothermus silvanus","Rhodobacter capsulatus",0.230629210496755,9.55818923689856e-05
"1559","Microbacterium sp. XT11","Rhodobacter capsulatus",0.425416010359036,8.8689875212134e-14
"1560","Leadbetterella byssophila","Rhodobacter capsulatus",0.463911471363272,2.11182984524202e-16
"1649","Flavobacteriaceae bacterium JJC","Martelella mediterranea",0.396265683843891,5.29503365222034e-12
"1650","Erythrobacter sp. HL-111","Martelella mediterranea",0.490877573418737,1.90499053729389e-18
"1651","Martelella sp. AD-3","Martelella mediterranea",0.592594429312215,4.96153946589442e-28
