species	Elderly_mean	Young_mean	p.value	Elderly_mean	Young_mean	p.value	Elderly_mean	Young_mean	p.value	LD_name	LC
M00040	7.61E-05	0.000242398	0.000586261	8.99E-05	0.000236373	0.006891858	5.63E-05	0.000168521	0.002686626	"Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine"	Aromatic amino acid metabolism
M00025	0.000170483	0.000264749	0.010394622	0.000170664	0.000257568	0.045320165	0.000138061	0.000241085	0.002076271	"Tyrosine biosynthesis, chorismate => tyrosine"	Aromatic amino acid metabolism
M00024	0.00015861	0.000260435	0.003602204	0.000175059	0.000245267	0.04906911	0.000141055	0.000239613	0.006742932	"Phenylalanine biosynthesis, chorismate => phenylalanine"	Aromatic amino acid metabolism
M00171	0.000247798	0.00034864	0.021947983	0.000254485	0.000386008	0.003806388	0.000256337	0.000352876	0.016136737	"C4-dicarboxylic acid cycle, NAD - malic enzyme type"	Carbon fixation
M00375	0.000312131	0.000503998	0.007543643	0.000299867	0.000509389	0.013223204	0.000229208	0.000385429	0.011025466	Hydroxypropionate-hydroxybutylate cycle	Carbon fixation
M00170	0.000182313	0.000312731	0.007964697	0.000211073	0.000330644	0.029955749	0.000120744	0.000261726	0.001970385	"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type"	Carbon fixation
M00843	0.00010709	0.000175386	0.005718751	0.000103911	0.000170203	0.026311483	0.000105413	0.000146728	0.045318008	"L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4"	Cofactor and vitamin biosynthesis
M00124	0.000295697	0.00049698	0.004052508	0.000313166	0.000490788	0.038532112	0.000317778	0.000435051	0.013089806	"Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P"	Cofactor and vitamin biosynthesis
M00141	0.000352138	0.000454412	0.044923567	0.000357671	0.000481873	0.015255492	0.00034394	0.000464529	0.030338992	"C1-unit interconversion, eukaryotes"	Cofactor and vitamin biosynthesis
M00128	9.45E-05	0.000165495	0.019014894	0.000112682	0.000187548	0.015255492	9.76E-05	0.00016381	0.046941228	"Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone"	Cofactor and vitamin biosynthesis
M00842	0.00010709	0.000175313	0.006048831	0.000103911	0.000170186	0.026311483	0.000105409	0.000146721	0.045318008	"Tetrahydrobiopterin biosynthesis, GTP => BH4"	Cofactor and vitamin biosynthesis
M00118	9.63E-05	0.000193708	0.002214595	9.79E-05	0.00019992	0.005287897	7.79E-05	0.000143654	0.0142426	"Glutathione biosynthesis, glutamate => glutathione"	Cofactor and vitamin biosynthesis
M00034	0.000287118	0.000466947	0.000380547	0.000321165	0.000492105	0.003402207	0.000264244	0.000392336	0.013655637	Methionine salvage pathway	Cysteine and methionine metabolism
M00021	0.000292083	0.000419038	0.025259165	0.000311289	0.000497511	0.001901276	0.000263201	0.000419914	0.005597711	"Cysteine biosynthesis, serine => cysteine"	Cysteine and methionine metabolism
M00368	0.000138365	0.000246368	0.000152538	0.000164311	0.000259149	0.007259828	0.000112015	0.000199429	0.001283612	"Ethylene biosynthesis, methionine => ethylene"	Cysteine and methionine metabolism
M00699	0.000228512	0.000472046	0.010951687	0.000258671	0.000573214	0.040143982	0.00014346	0.000376955	0.004855615	"Multidrug resistance, efflux pump AmeABC"	Drug efflux transporter/pump
M00768	0.000104928	0.000263335	0.010951687	0.000116832	0.000315307	0.029955749	5.20E-05	0.000222396	0.002187259	"Multidrug resistance, efflux pump GesABC"	Drug efflux transporter/pump
M00822	0.000103093	0.000256809	0.01414492	0.000115072	0.000309156	0.03401747	5.04E-05	0.000220325	0.001869395	"Multidrug resistance, efflux pump MexMN-OprM"	Drug efflux transporter/pump
M00647	0.000402412	0.000871323	0.008406266	0.000456664	0.001056098	0.03401747	0.000239145	0.00071397	0.002972844	"Multidrug resistance, efflux pump AcrAB-TolC/SmeDEF"	Drug efflux transporter/pump
M00745	1.91E-05	5.33E-05	0.000586261	2.51E-05	5.43E-05	0.008469655	5.27E-05	4.04E-05	0.023180327	"Imipenem resistance, repression of porin OprD"	Drug resistance
M00722	0.000120018	0.000404767	0.00116339	0.000134238	0.000440908	0.019244183	8.08E-05	0.00027323	0.002187259	"Cationic antimicrobial peptide (CAMP) resistance, phosphoethanolamine transferase PmrC"	Drug resistance
M00643	0.000102487	0.000256403	0.014872378	0.000114249	0.000308877	0.036974657	4.98E-05	0.000219801	0.001869395	"Multidrug resistance, efflux pump MexXY-OprM"	Drug resistance
M00718	0.000330904	0.000727701	0.009354283	0.000372791	0.000881202	0.03401747	0.000193206	0.000595958	0.00345357	"Multidrug resistance, efflux pump MexAB-OprM"	Drug resistance
M00642	0.000127128	0.000293774	0.012144379	0.000134931	0.000335958	0.040143982	5.99E-05	0.000230189	0.003125963	"Multidrug resistance, efflux pump MexJK-OprM"	Drug resistance
M00743	0.000165263	0.000296277	0.011534612	0.000162495	0.000308729	0.045320165	0.000102519	0.00021671	0.013089806	"Aminoglycoside resistance, protease HtpX"	Drug resistance
M00113	0.000148359	0.000308424	0.006395638	0.000168582	0.000371488	0.011430263	0.000126253	0.000230324	0.025060909	Jasmonic acid biosynthesis	Fatty acid metabolism
M00087	0.000613996	0.000952132	0.003821448	0.000561793	0.000976734	0.003806388	0.000506088	0.00075859	0.037884652	beta-Oxidation	Fatty acid metabolism
M00088	0.000358264	0.000672025	0.005718751	0.000373151	0.000691694	0.015255492	0.000269815	0.000511209	0.012544479	"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"	Fatty acid metabolism
M00089	0.000317281	0.000435756	0.001017831	0.000333459	0.000476686	0.000650994	0.00032457	0.000442808	0.001510501	Triacylglycerol biosynthesis	Lipid metabolism
M00060	0.00031456	0.000635913	0.006759882	0.000375351	0.00064493	0.043536585	0.000249521	0.000483222	0.008462374	"Lipopolysaccharide biosynthesis, KDO2-lipid A"	Lipopolysaccharide metabolism
M00032	0.000899621	0.001197279	0.021947983	0.000831921	0.001251922	0.043536585	0.000769859	0.001143036	0.043741625	"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	Lysine metabolism
M00452	1.85E-05	5.10E-05	0.000775134	2.40E-05	5.26E-05	0.012600164	5.18E-05	3.80E-05	0.018244864	CusS-CusR (copper tolerance) two-component regulatory system	Two-component regulatory system
M00507	0.000209865	0.000422808	0.00540471	0.000255347	0.000461327	0.040143982	0.000179237	0.000286734	0.012019045	ChpA-ChpB/PilGH (chemosensory) two-component regulatory system	Two-component regulatory system
M00497	6.70E-05	0.000140972	0.006759882	7.02E-05	0.000173114	0.036974657	3.38E-05	0.00012667	0.003435004	GlnL-GlnG (nitrogen regulation) two-component regulatory system	Two-component regulatory system
M00446	0.000116746	0.000306827	0.006048831	0.000135401	0.000325776	0.04906911	5.98E-05	0.000219852	0.000615718	RstB-RstA two-component regulatory system	Two-component regulatory system
M00820	7.56E-05	0.00019379	0.002356645	9.28E-05	0.000222751	0.017552484	4.92E-05	0.000153834	0.002972844	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system	Two-component regulatory system
M00445	5.70E-05	0.000153873	0.002833183	6.85E-05	0.000159872	0.040143982	3.85E-05	0.000112208	0.002826485	EnvZ-OmpR (osmotic stress response) two-component regulatory system	Two-component regulatory system
